serial,ppg,ppg_h,timestamp
5,38.0,-66.0,2021-05-06 21:08:59+00:00
6,56.0,-66.0,2021-05-06 21:08:59+00:00
7,89.0,-66.0,2021-05-06 21:08:59+00:00
8,-127.0,-66.0,2021-05-06 21:08:59+00:00
9,-73.0,-66.0,2021-05-06 21:08:59+00:00
10,-15.0,-66.0,2021-05-06 21:08:59+00:00
11,50.0,-65.0,2021-05-06 21:08:59+00:00
12,105.0,-65.0,2021-05-06 21:08:59+00:00
13,-110.0,-65.0,2021-05-06 21:08:59+00:00
14,104.0,-65.0,2021-05-06 21:08:59+00:00
15,-12.0,-66.0,2021-05-06 21:08:59+00:00
16,114.0,-66.0,2021-05-06 21:08:59+00:00
17,6.0,-66.0,2021-05-06 21:08:59+00:00
18,-96.0,-67.0,2021-05-06 21:08:59+00:00
19,119.0,-67.0,2021-05-06 21:08:59+00:00
20,-118.0,-67.0,2021-05-06 21:08:59+00:00
21,-42.0,-67.0,2021-05-06 21:08:59+00:00
22,10.0,-66.0,2021-05-06 21:08:59+00:00
23,23.0,-66.0,2021-05-06 21:08:59+00:00
24,44.0,-118.0,2021-05-06 21:08:59+00:00
0,63.0,-66.0,2021-05-06 21:09:00+00:00
1,48.0,-66.0,2021-05-06 21:09:00+00:00
2,-14.0,-67.0,2021-05-06 21:09:00+00:00
3,118.0,-67.0,2021-05-06 21:09:00+00:00
4,2.0,-67.0,2021-05-06 21:09:00+00:00
5,124.0,-68.0,2021-05-06 21:09:00+00:00
6,-34.0,-69.0,2021-05-06 21:09:00+00:00
7,89.0,-69.0,2021-05-06 21:09:00+00:00
8,28.0,-69.0,2021-05-06 21:09:00+00:00
9,-3.0,-70.0,2021-05-06 21:09:00+00:00
10,-6.0,-70.0,2021-05-06 21:09:00+00:00
11,6.0,-69.0,2021-05-06 21:09:00+00:00
12,21.0,-69.0,2021-05-06 21:09:00+00:00
13,72.0,-69.0,2021-05-06 21:09:00+00:00
14,-99.0,-69.0,2021-05-06 21:09:00+00:00
15,0.0,-68.0,2021-05-06 21:09:00+00:00
16,-116.0,-68.0,2021-05-06 21:09:00+00:00
17,100.0,-67.0,2021-05-06 21:09:00+00:00
18,31.0,-66.0,2021-05-06 21:09:00+00:00
19,97.0,-66.0,2021-05-06 21:09:00+00:00
20,88.0,-66.0,2021-05-06 21:09:00+00:00
21,-92.0,-66.0,2021-05-06 21:09:00+00:00
22,11.0,-65.0,2021-05-06 21:09:00+00:00
23,107.0,-65.0,2021-05-06 21:09:00+00:00
24,-27.0,54.0,2021-05-06 21:09:00+00:00
0,98.0,-64.0,2021-05-06 21:09:01+00:00
1,-43.0,-64.0,2021-05-06 21:09:01+00:00
2,77.0,-63.0,2021-05-06 21:09:01+00:00
3,-29.0,-63.0,2021-05-06 21:09:01+00:00
4,125.0,-62.0,2021-05-06 21:09:01+00:00
5,-15.0,-62.0,2021-05-06 21:09:01+00:00
6,120.0,-61.0,2021-05-06 21:09:01+00:00
7,17.0,-60.0,2021-05-06 21:09:01+00:00
8,-73.0,-60.0,2021-05-06 21:09:01+00:00
9,108.0,-59.0,2021-05-06 21:09:01+00:00
10,39.0,-58.0,2021-05-06 21:09:01+00:00
11,-90.0,-58.0,2021-05-06 21:09:01+00:00
12,24.0,-57.0,2021-05-06 21:09:01+00:00
13,-126.0,-57.0,2021-05-06 21:09:01+00:00
14,-14.0,-57.0,2021-05-06 21:09:01+00:00
15,110.0,-56.0,2021-05-06 21:09:01+00:00
16,-7.0,-56.0,2021-05-06 21:09:01+00:00
17,-126.0,-55.0,2021-05-06 21:09:01+00:00
18,-5.0,-55.0,2021-05-06 21:09:01+00:00
19,113.0,-54.0,2021-05-06 21:09:01+00:00
20,-29.0,-54.0,2021-05-06 21:09:01+00:00
21,71.0,-53.0,2021-05-06 21:09:01+00:00
22,-84.0,-53.0,2021-05-06 21:09:01+00:00
23,6.0,-52.0,2021-05-06 21:09:01+00:00
24,95.0,30.0,2021-05-06 21:09:01+00:00
0,126.0,-52.0,2021-05-06 21:09:02+00:00
1,74.0,-52.0,2021-05-06 21:09:02+00:00
2,-3.0,-53.0,2021-05-06 21:09:02+00:00
3,-77.0,-53.0,2021-05-06 21:09:02+00:00
4,122.0,-53.0,2021-05-06 21:09:02+00:00
5,-115.0,-53.0,2021-05-06 21:09:02+00:00
6,-70.0,-53.0,2021-05-06 21:09:02+00:00
7,-22.0,-53.0,2021-05-06 21:09:02+00:00
8,42.0,-52.0,2021-05-06 21:09:02+00:00
9,107.0,-52.0,2021-05-06 21:09:02+00:00
10,-90.0,-52.0,2021-05-06 21:09:02+00:00
11,-38.0,-52.0,2021-05-06 21:09:02+00:00
12,-1.0,-52.0,2021-05-06 21:09:02+00:00
